Category,Year,Percent_Change,Decade
Farm-level vegetables,1999,-15.4,1990
Farm-level vegetables,2000,7.4,2000
Farm-level vegetables,2001,-1.6,2000
Farm-level vegetables,2002,9.5,2000
Farm-level vegetables,2003,-0.6,2000
Farm-level vegetables,2004,-4.6,2000
Farm-level vegetables,2005,10.2,2000
Farm-level vegetables,2006,7.5,2000
Farm-level vegetables,2007,8.0,2000
Farm-level vegetables,2008,4.1,2000
Farm-level vegetables,2009,-5.9,2000
Farm-level vegetables,2010,10.0,2010
Farm-level vegetables,2011,9.3,2010
Farm-level vegetables,2012,-19.8,2010
Farm-level vegetables,2013,26.4,2010
Farm-level vegetables,2014,-1.9,2010
Farm-level vegetables,2015,3.2,2010
Farm-level vegetables,2016,1.0,2010
Farm-level vegetables,2017,6.4,2010
Farm-level vegetables,2018,-1.7,2010
Farm-level vegetables,2019,13.0,2010
Farm-level vegetables,2020,2.0,2020
Farm-level vegetables,2021,-6.5,2020
Farm-level vegetables,2022,51.4,2020
Farm-level vegetables,2023,-12.1,2020
Farm-level vegetables,2024,-0.3,2020
Farm-level wheat,1974,33.3,1970
Farm-level wheat,1975,-19.7,1970
Farm-level wheat,1976,-13.3,1970
Farm-level wheat,1977,-22.5,1970
Farm-level wheat,1978,24.3,1970
Farm-level wheat,1979,23.6,1970
Farm-level wheat,1980,7.8,1980
Farm-level wheat,1981,0.2,1980
Farm-level wheat,1982,-7.8,1980
Farm-level wheat,1983,0.7,1980
Farm-level wheat,1984,-4.0,1980
Farm-level wheat,1985,-9.4,1980
Farm-level wheat,1986,-12.9,1980
Farm-level wheat,1987,-4.6,1980
Farm-level wheat,1988,28.7,1980
Farm-level wheat,1989,16.9,1980
Farm-level wheat,1990,-20.0,1990
Farm-level wheat,1991,-9.4,1990
Farm-level wheat,1992,24.1,1990
Farm-level wheat,1993,-0.1,1990
Farm-level wheat,1994,6.5,1990
Farm-level wheat,1995,13.2,1990
Farm-level wheat,1996,15.2,1990
Farm-level wheat,1997,-20.8,1990
Farm-level wheat,1998,-18.9,1990
Farm-level wheat,1999,-9.5,1990
Farm-level wheat,2000,1.0,2000
Farm-level wheat,2001,6.5,2000
Farm-level wheat,2002,14.5,2000
Farm-level wheat,2003,0.6,2000
Farm-level wheat,2004,7.6,2000
Farm-level wheat,2005,-3.1,2000
Farm-level wheat,2006,13.8,2000
Farm-level wheat,2007,47.2,2000
Farm-level wheat,2008,36.6,2000
Farm-level wheat,2009,-36.5,2000
Farm-level wheat,2010,5.3,2010
Farm-level wheat,2011,37.5,2010
Farm-level wheat,2012,-2.6,2010
Farm-level wheat,2013,-3.0,2010
Farm-level wheat,2014,-6.7,2010
Farm-level wheat,2015,-19.6,2010
Farm-level wheat,2016,-20.4,2010
Farm-level wheat,2017,7.8,2010
Farm-level wheat,2018,14.2,2010
Farm-level wheat,2019,-8.0,2010
Farm-level wheat,2020,7.5,2020
Farm-level wheat,2021,44.5,2020
Farm-level wheat,2022,31.0,2020
Farm-level wheat,2023,-23.1,2020
Farm-level wheat,2024,-22.3,2020
Wholesale wheat flour,1974,29.4,1970
Wholesale wheat flour,1975,-13.5,1970
Wholesale wheat flour,1976,-9.5,1970
Wholesale wheat flour,1977,-19.6,1970
Wholesale wheat flour,1978,19.1,1970
Wholesale wheat flour,1979,21.5,1970
Wholesale wheat flour,1980,9.1,1980
Wholesale wheat flour,1981,2.2,1980
Wholesale wheat flour,1982,-4.4,1980
Wholesale wheat flour,1983,1.5,1980
Wholesale wheat flour,1984,-0.5,1980
Wholesale wheat flour,1985,-1.2,1980
Wholesale wheat flour,1986,-5.2,1980
Wholesale wheat flour,1987,-1.8,1980
Wholesale wheat flour,1988,13.8,1980
Wholesale wheat flour,1989,8.4,1980
Wholesale wheat flour,1990,-9.6,1990
Wholesale wheat flour,1991,-6.6,1990
Wholesale wheat flour,1992,13.1,1990
Wholesale wheat flour,1993,-0.5,1990
Wholesale wheat flour,1994,1.4,1990
Wholesale wheat flour,1995,11.4,1990
Wholesale wheat flour,1996,11.2,1990
Wholesale wheat flour,1997,-13.2,1990
Wholesale wheat flour,1998,-8.0,1990
Wholesale wheat flour,1999,-4.5,1990
Wholesale wheat flour,2000,-0.5,2000
Wholesale wheat flour,2001,5.9,2000
Wholesale wheat flour,2002,5.7,2000
Wholesale wheat flour,2003,6.4,2000
Wholesale wheat flour,2004,4.4,2000
Wholesale wheat flour,2005,3.6,2000
Wholesale wheat flour,2006,9.1,2000
Wholesale wheat flour,2007,22.4,2000
Wholesale wheat flour,2008,34.4,2000
Wholesale wheat flour,2009,-23.7,2000
Wholesale wheat flour,2010,-0.3,2010
Wholesale wheat flour,2011,23.1,2010
Wholesale wheat flour,2012,2.0,2010
Wholesale wheat flour,2013,0.0,2010
Wholesale wheat flour,2014,1.8,2010
Wholesale wheat flour,2015,-10.0,2010
Wholesale wheat flour,2016,-7.3,2010
Wholesale wheat flour,2017,1.7,2010
Wholesale wheat flour,2018,0.9,2010
Wholesale wheat flour,2019,-2.2,2010
Wholesale wheat flour,2020,1.4,2020
Wholesale wheat flour,2021,19.3,2020
Wholesale wheat flour,2022,23.3,2020
Wholesale wheat flour,2023,-5.8,2020
Wholesale wheat flour,2024,-6.8,2020
